run_id,started_at,ended_at,real_llm_mode,contract_set_version,language_filter,n_contracts,classification_f1_en,classification_f1_de,deviation_f1_en,deviation_f1_de,citation_completeness_en,citation_completeness_de,severity_mismatch_count_en,severity_mismatch_count_de,gap_deviation_f1,gap_citation_completeness,gap_passed
20260609T015453Z,2026-06-09T01:54:53.470987+00:00,2026-06-09T01:54:53.805675+00:00,False,0.3.0-phase4-per-language,both,10,0.7,,1.0,,1.0,,0,,,,
20260609T015456Z,2026-06-09T01:54:56.536657+00:00,2026-06-09T01:54:56.866160+00:00,False,0.3.0-phase4-per-language,both,10,0.7,,1.0,,1.0,,0,,,,
20260609T015521Z,2026-06-09T01:55:21.997806+00:00,2026-06-09T01:55:22.426810+00:00,False,0.3.0-phase4-per-language,both,10,0.7,,1.0,,1.0,,0,,,,
20260609T073028Z,2026-06-09T07:30:28.672434+00:00,2026-06-09T07:30:29.010352+00:00,False,0.3.0-phase4-per-language,both,10,0.7,,1.0,,1.0,,0,,,,
20260609T073443Z,2026-06-09T07:34:43.031043+00:00,2026-06-09T07:34:45.712397+00:00,False,0.3.0-phase4-per-language,both,10,0.7,,0.0,,1.0,,0,,,,
20260609T074600Z,2026-06-09T07:46:00.730730+00:00,2026-06-09T07:46:01.294133+00:00,False,0.3.0-phase4-per-language,both,15,0.7,0.0526,1.0,1.0,1.0,1.0,0,0,0.0,0.0,True
20260609T074418Z,2026-06-09T07:44:18.398289+00:00,2026-06-09T07:46:21.102990+00:00,False,0.3.0-phase4-per-language,both,15,0.7,0.0526,1.0,1.0,1.0,1.0,0,0,0.0,0.0,True
20260609T075227Z,2026-06-09T07:52:27.884215+00:00,2026-06-09T07:52:28.327308+00:00,False,0.3.0-phase4-per-language,both,15,0.7,0.0526,1.0,1.0,1.0,1.0,0,0,0.0,0.0,True
20260609T153816Z,2026-06-09T15:38:16.107614+00:00,2026-06-09T15:38:16.570719+00:00,False,0.3.0-phase4-per-language,both,15,0.7,0.0526,1.0,1.0,1.0,1.0,0,0,0.0,0.0,True
20260609T153858Z,2026-06-09T15:38:58.493864+00:00,2026-06-09T15:38:58.942740+00:00,False,0.3.0-phase4-per-language,both,15,0.7,0.0526,1.0,1.0,1.0,1.0,0,0,0.0,0.0,True
20260611T012130Z,2026-06-11T01:21:30.569709+00:00,2026-06-11T01:21:36.520976+00:00,False,0.3.0-phase4-per-language,both,18,0.75,0.3077,1.0,1.0,1.0,1.0,0,0,0.0,0.0,True
